Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Period,0,100.0,integer,4,"873: 11,697; 874: 11,675; 881: 11,520"
Ostan,0,100.0,integer,30,"23: 8,897; 10: 3,595; 9: 3,255"
PSU,0,100.0,integer,1606,1545: 56; 920: 54; 931: 52
Khanevar,0,100.0,integer,2,"2: 23,236; 1: 23,085"
D01,0,100.0,integer,14,"1: 12,075; 2: 11,512; 3: 9,872"
D03,0,100.0,string,13,"3: 22,212; 1: 12,075; 2: 10,531"
D04,0,100.0,integer,2,"1: 23,377; 2: 22,944"
D05,1331,97.1265732605082,string,17,"06: 5,871; 01: 5,695; 03: 3,941"
D06,515,98.88819326007642,string,96,"70: 1,102; 68: 1,074; 64: 1,070"
D07,0,100.0,integer,99,"18: 1,110; 24: 1,097; 23: 1,078"
D08,0,100.0,integer,4,"1: 44,225; 2: 2,064; 3: 25"
D09,5758,87.5693529932428,integer,3,"2: 28,306; 1: 12,257"
D10,5758,87.5693529932428,integer,3,"1: 36,052; 2: 4,511"
D11,10268,77.83294833876644,integer,10,"11: 10,512; 31: 8,799; 21: 7,594"
D12,40354,12.881846246842688,string,76,523: 533; 344: 505; 345: 406
D13,12502,73.01008182034067,string,10,"1: 11,946; 7: 10,957; 5: 4,986"
D14,33971,26.661773277778977,string,342,"5220: 1,584; 8322: 883; 9314: 736"
D15,33971,26.661773277778977,string,357,"4521: 1,134; 6022: 688; 6023: 442"
D16,33971,26.661773277778977,string,9,"4: 4,266; 2: 3,921; 3: 2,980"
D17,12501,73.01224066837935,integer,5,"1: 21,623; 4: 10,499; 2: 1,454"
D18,0,100.0,integer,2,"2: 45,704; 1: 617"
W1,0,100.0,floating,631,1479.5540637219706: 677; 1311.337558540551: 656; 1327.5191716662164: 634
