Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
KhnID,0,100.0,integer,12994,2028538936: 1; 2028635092: 1; 2028648385: 1
Mah,12994,-0.0,integer,1,
Rooz,0,100.0,integer,18,"10: 1,407; 13: 1,398; 11: 1,390"
amargiry_nobat,0,100.0,integer,2,"1: 8,229; 2: 4,765"
pasokhgo_radif,0,100.0,integer,9,"2: 6,197; 1: 5,808; 3: 673"
KhanevarType,0,100.0,integer,2,"1: 12,986; 2: 8"
IsJaygozin,4765,63.329228874865315,integer,3,"0: 6,175; 1: 2,054"
Q2,8229,36.670771125134685,integer,3,"0: 4,031; 1: 734"
Q2_Reason,12260,5.648760966599964,integer,3,1: 646; 2: 88
TedadAfradKhanevar,0,100.0,integer,11,"3: 3,678; 4: 3,620; 2: 2,775"
TedadAfrad6AndOver,0,100.0,integer,9,"2: 4,223; 3: 3,761; 4: 2,638"
TedadAfrad15AndOver,0,100.0,integer,9,"2: 6,924; 3: 2,805; 1: 1,609"
TakmilStatus,0,100.0,integer,1,"1: 12,994"
Reason,12994,-0.0,integer,1,
Reason_Txt,12994,-0.0,integer,1,
MaskanType,0,100.0,integer,3,"2: 8,097; 1: 4,889; 3: 8"
MaskanType_Other,12986,0.061566877020158284,string,6,سرايداري: 3; کانکس: 2; مسجد: 1
CaptureType,0,100.0,integer,5,"1: 8,917; 2: 3,221; 4: 674"
Q2_1,0,100.0,integer,2,"1: 7,528; 0: 5,466"
Q2_2,0,100.0,integer,2,"0: 10,899; 1: 2,095"
Q2_3,0,100.0,integer,2,"0: 11,354; 1: 1,640"
Q2_4,0,100.0,integer,2,"0: 9,873; 1: 3,121"
Q2_5,0,100.0,integer,2,"1: 12,557; 0: 437"
Q2_6,0,100.0,integer,2,"0: 10,161; 1: 2,833"
Q2_7,0,100.0,integer,2,"0: 9,072; 1: 3,922"
Q2_8,0,100.0,integer,2,"1: 12,212; 0: 782"
Q2_9,0,100.0,integer,2,"1: 6,954; 0: 6,040"
Q2_10,0,100.0,integer,2,"0: 7,551; 1: 5,443"
Q2_11,0,100.0,integer,2,"0: 9,692; 1: 3,302"
Q2_12,0,100.0,integer,2,"1: 7,897; 0: 5,097"
Q2_13,0,100.0,integer,2,"1: 12,777; 0: 217"
Q2_14,0,100.0,integer,2,"1: 11,799; 0: 1,195"
Q2_15,0,100.0,integer,2,"1: 10,724; 0: 2,270"
Q2_16,0,100.0,integer,2,"0: 7,012; 1: 5,982"
Q2_17,0,100.0,integer,2,"0: 7,446; 1: 5,548"
Q2_18,0,100.0,integer,2,"1: 7,588; 0: 5,406"
Q2_19,0,100.0,integer,2,"0: 9,594; 1: 3,400"
Q2_20,0,100.0,integer,2,"0: 11,980; 1: 1,014"
Q2_21,0,100.0,integer,2,"0: 11,130; 1: 1,864"
Q2_22,0,100.0,integer,2,"0: 12,992; 1: 2"
Q2_23,0,100.0,integer,1,"0: 12,994"
UseInternet,0,100.0,integer,3,"1: 9,736; 0: 3,254; -9: 4"
InternetCnnType1,0,100.0,integer,2,"0: 12,087; 1: 907"
InternetCnnType2,0,100.0,integer,2,"1: 9,546; 0: 3,448"
InternetCnnType3,0,100.0,integer,2,"0: 12,679; 1: 315"
InternetCnnType4,0,100.0,integer,2,"0: 12,982; 1: 12"
InternetCnnType4_Name,12982,0.09235031553024298,string,7,تلويزيون: 5; واي فاي: 2; مودم: 2
InternetCnnType_EN,0,100.0,integer,1,"0: 12,994"
Without_W,0,100.0,integer,1,"1: 12,994"
W_Khn,0,100.0,floating,2209,8998.280003936723: 70; 15445.362610790293: 66; 9341.517238941531: 62
W_Khn_Y,0,100.0,floating,2209,3029.005939839612: 70; 5199.226415558589: 66; 2335.379309735383: 62
